FIPS,Geo_FIPS
Area Name,Geo_NAME
Qualifying Name,Geo_QName
State Postal Abbreviation,Geo_STUSAB
Summary Level,Geo_SUMLEV
Geographic Component,Geo_GEOCOMP
File identification,Geo_FILEID
Logical Record Number,Geo_LOGRECNO
US,Geo_US
Census Region,Geo_REGION
Census Division,Geo_DIVISION
State (Census Code),Geo_STATECE
State (FIPS Code),Geo_STATE
County of current residence,Geo_COUNTY
County Subdivision (FIPS),Geo_COUSUB
Place (FIPS Code),Geo_PLACE
Place (State FIPS + Place FIPS),Geo_PLACESE
Census Tract,Geo_TRACT
Block Group,Geo_BLKGRP
Consolidated City,Geo_CONCIT
American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),Geo_AIANHH
American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),Geo_AIANHHFP
American Indian Trust Land/Hawaiian Home Land Indicator,Geo_AIHHTLI
American Indian Tribal Subdivision (Census),Geo_AITSCE
American Indian Tribal Subdivision (FIPS),Geo_AITS
Alaska Native Regional Corporation (FIPS),Geo_ANRC
Metropolitan and Micropolitan Statistical Area,Geo_CBSA
Combined Statistical Area,Geo_CSA
Metropolitan Division,Geo_METDIV
Metropolitan Area Central City,Geo_MACC
Metropolitan/Micropolitan Indicator Flag,Geo_MEMI
New England City and Town Area,Geo_NECTA
New England City and Town Area.1,Geo_CNECTA
New England City and Town Area Division,Geo_NECTADIV
Urban Area,Geo_UA
Urban Area Central Place,Geo_UACP
Current Congressional District ***,Geo_CDCURR
State Legislative District Upper,Geo_SLDU
State Legislative District Lower,Geo_SLDL
Voting District,Geo_VTD
ZIP Code Tabulation Area (3-digit),Geo_ZCTA3
5-digit ZIP Code Tabulation Area,Geo_ZCTA5
Subminor Civil Division (FIPS),Geo_SUBMCD
State-School District (Elementary),Geo_SDELM
State-School District (Secondary),Geo_SDSEC
State-School District (Unified),Geo_SDUNI
Urban/Rural,Geo_UR
Principal City Indicator,Geo_PCI
Traffic Analysis Zone,Geo_TAZ
Urban Growth Area,Geo_UGA
Public Use Microdata Area - 5% File,Geo_PUMA5
Public Use Microdata Area - 1% File,Geo_PUMA1
Geographic Identifier,Geo_GEOID
Tribal Tract,Geo_BTTR
Tribal Block Group,Geo_BTBG
Area (Land),Geo_AREALAND
Area (Water),Geo_AREAWATR
Total,ACS19_5yr_B01001001
Total: Male,ACS19_5yr_B01001002
Total: Male: Under 5 Years,ACS19_5yr_B01001003
Total: Male: 5 To 9 Years,ACS19_5yr_B01001004
Total: Male: 10 To 14 Years,ACS19_5yr_B01001005
Total: Male: 15 To 17 Years,ACS19_5yr_B01001006
Total: Male: 18 And 19 Years,ACS19_5yr_B01001007
Total: Male: 20 Years,ACS19_5yr_B01001008
Total: Male: 21 Years,ACS19_5yr_B01001009
Total: Male: 22 To 24 Years,ACS19_5yr_B01001010
Total: Male: 25 To 29 Years,ACS19_5yr_B01001011
Total: Male: 30 To 34 Years,ACS19_5yr_B01001012
Total: Male: 35 To 39 Years,ACS19_5yr_B01001013
Total: Male: 40 To 44 Years,ACS19_5yr_B01001014
Total: Male: 45 To 49 Years,ACS19_5yr_B01001015
Total: Male: 50 To 54 Years,ACS19_5yr_B01001016
Total: Male: 55 To 59 Years,ACS19_5yr_B01001017
Total: Male: 60 And 61 Years,ACS19_5yr_B01001018
Total: Male: 62 To 64 Years,ACS19_5yr_B01001019
Total: Male: 65 And 66 Years,ACS19_5yr_B01001020
Total: Male: 67 To 69 Years,ACS19_5yr_B01001021
Total: Male: 70 To 74 Years,ACS19_5yr_B01001022
Total: Male: 75 To 79 Years,ACS19_5yr_B01001023
Total: Male: 80 To 84 Years,ACS19_5yr_B01001024
Total: Male: 85 Years And Over,ACS19_5yr_B01001025
Total: Female,ACS19_5yr_B01001026
Total: Female: Under 5 Years,ACS19_5yr_B01001027
Total: Female: 5 To 9 Years,ACS19_5yr_B01001028
Total: Female: 10 To 14 Years,ACS19_5yr_B01001029
Total: Female: 15 To 17 Years,ACS19_5yr_B01001030
Total: Female: 18 And 19 Years,ACS19_5yr_B01001031
Total: Female: 20 Years,ACS19_5yr_B01001032
Total: Female: 21 Years,ACS19_5yr_B01001033
Total: Female: 22 To 24 Years,ACS19_5yr_B01001034
Total: Female: 25 To 29 Years,ACS19_5yr_B01001035
Total: Female: 30 To 34 Years,ACS19_5yr_B01001036
Total: Female: 35 To 39 Years,ACS19_5yr_B01001037
Total: Female: 40 To 44 Years,ACS19_5yr_B01001038
Total: Female: 45 To 49 Years,ACS19_5yr_B01001039
Total: Female: 50 To 54 Years,ACS19_5yr_B01001040
Total: Female: 55 To 59 Years,ACS19_5yr_B01001041
Total: Female: 60 And 61 Years,ACS19_5yr_B01001042
Total: Female: 62 To 64 Years,ACS19_5yr_B01001043
Total: Female: 65 And 66 Years,ACS19_5yr_B01001044
Total: Female: 67 To 69 Years,ACS19_5yr_B01001045
Total: Female: 70 To 74 Years,ACS19_5yr_B01001046
Total: Female: 75 To 79 Years,ACS19_5yr_B01001047
Total: Female: 80 To 84 Years,ACS19_5yr_B01001048
Total: Female: 85 Years And Over,ACS19_5yr_B01001049
Std. Error: Total:,ACS19_5yr_B01001001s
Std. Error: Male:,ACS19_5yr_B01001002s
Std. Error: Under 5 Years,ACS19_5yr_B01001003s
